position,docid,date,court,title
474,2806990,2017-09-01,Bombay High Court,"Dr. Mahesh Vijay Bedekar vs The Union Of India And Ors on 1 September, 2017"
475,116832554,2018-12-03,Bombay High Court,"Abdul Latif Abdul Rashid Shaikh @ Guddu ... vs The State Of Maharashtra on 3 December, 2018"
476,117106658,2019-03-15,Madras High Court,"G.K.Mani vs New Generation Media Corporation (P) ... on 15 March, 2019"
477,53719663,2018-12-03,Bombay High Court,"Abdul Latif Abdul Rashid Shaikh @ Guddu ... vs The State Of Maharashtra on 3 December, 2018"
478,198716645,2015-08-18,Himachal Pradesh High Court,"Shri Diwan Chand vs Smt. Simmi Saini on 18 August, 2015"
479,152343452,2015-05-29,Kerala High Court,"Shoba Ramachandran vs The Stateof Kerala on 29 May, 2015"
480,149833206,2007-07-23,Andhra HC (Pre-Telangana),"Salena Dandasi S/O. Late Kayanna vs Gajjala Malla Reddy And T. Venkataram ... on 23 July, 2007"
481,53278837,2024-12-02,Karnataka High Court,"Sri Mohammed Aamir Raza vs State Of Karnataka By on 2 December, 2024"
482,197461547,2025-01-13,Punjab-Haryana High Court,"Aarti Arora vs Fortis Hospital Mohali And Others on 13 January, 2025"
483,135152812,2025-09-23,Bombay High Court,"State Of Goa, Thr. The Police Inspector, ... vs Unique Identification Authority Of ... on 23 September, 2025"
484,75707041,2025-05-09,Jharkhand High Court,"Janak Raj Sharma vs Bharat Coking Coal Limited on 9 May, 2025"
485,195095074,2024-07-11,Himachal Pradesh High Court,"State Of Himachal Pradesh vs Manish Kumar @ Manu on 11 July, 2024"
486,156361808,2024-07-05,Calcutta High Court (Appellete Side),"Dr. Silpa Bandyopadhyay vs State Of West Bengal & Ors on 5 July, 2024"
487,2313958,2025-06-20,Jharkhand High Court,"St. Joseph'S College vs Jharkhand State Information ... on 20 June, 2025"
488,102031533,2025-01-08,Calcutta High Court (Appellete Side),"Sahida Laskar @ Saida Laskar vs The State Of West Bengal & Another on 8 January, 2025"
489,137813641,2024-01-05,Calcutta High Court (Appellete Side),"Fabian Ricklin vs State Of West Bengal & Ors on 5 January, 2024"
490,33469022,2025-05-27,Delhi High Court - Orders,"Rupika Sharma vs The State Govt. Of Nct Of Delhi And Ors on 27 May, 2025"
491,2727321,2023-10-16,Delhi High Court,"Mrs. B vs The Union Of India & Anr. on 16 October, 2023"
492,65115741,2023-11-22,Delhi High Court,"Shri Naresh Kumar vs The Wire & Ors. on 22 November, 2023"
493,23496879,2023-09-13,Tripura High Court,"Sri Gopal Roy vs The State Of Tripura on 13 September, 2023"
494,156958008,2023-04-28,Telangana High Court,"Kaja Suryanarayana vs Telangana State Election Commission ... on 28 April, 2023"
495,6282744,2023-02-28,Punjab-Haryana High Court,"Sher Khan @ Sheru vs State Of Haryana And Ors on 28 February, 2023"
496,161353839,2023-04-28,Telangana High Court,"Venkatesh Derangula vs Kaja Suryanarayana on 28 April, 2023"
497,18625432,2023-05-04,Patna High Court - Orders,"Youth For Equality vs The State Of Bihar on 4 May, 2023"
498,40435678,2023-05-04,Patna High Court - Orders,"Ek Soch Ek Prayas vs Union Of India on 4 May, 2023"
499,164697938,2023-07-04,Rajasthan High Court - Jaipur,"Shashikant Joshi S/O Late Shri Sukhdev ... vs State Of Rajasthan on 4 July, 2023"
500,48606282,2023-03-16,Jammu & Kashmir High Court - Srinagar Bench,"Ms. X (Minor) vs Ut Of J&K & Others on 16 March, 2023"
501,164631247,2023-04-28,Telangana High Court,"Kaja Suryanarayana vs Telangana State Election Commission ... on 28 April, 2023"
502,123992741,2023-05-04,Patna High Court - Orders,"Sh. Akhilesh Kumar vs The State Of Bihar on 4 May, 2023"
503,28604098,2023-05-04,Patna High Court - Orders,"Ms. Muskan Kumari vs The State Of Bihar on 4 May, 2023"
504,56946066,2023-05-04,Patna High Court - Orders,"Reshma Prasad vs State Of Bihar on 4 May, 2023"
505,33961027,2022-06-13,Karnataka High Court,"J M Richard @ Joy Macdonald Richard vs State Of Karnataka on 13 June, 2022"
506,141292140,2022-09-29,Calcutta High Court (Appellete Side),"Mahendra Kumar Jain vs State Of West Bengal & Ors on 29 September, 2022"
507,46092179,2021-04-09,Kerala High Court,"Xxxxxxxxxx vs State Of Kerala on 9 April, 2021"
508,21851867,2021-10-20,Kerala High Court,"Sanil Narayanan vs The State Of Kerala on 20 October, 2021"
509,143982688,2021-08-03,Gujarat High Court,"Moin @ Monu Aminbhai Gajipura(Memon) vs State Of Gujarat on 3 August, 2021"
510,168859519,2021-10-27,Madras High Court,"M.Duraisamy vs The District Collector on 27 October, 2021"
511,63934962,2021-01-20,Andhra Pradesh High Court - Amravati,"Kadali Durga Rao, W.G.Dt., vs Kadali Surya Kumari, Wg.Dt Anr, Rep Pp., on 20 January, 2021"
512,49556736,2021-08-03,Gujarat High Court,"Moin @ Monu Aminbhai Gajipura(Memon) vs State Of Gujarat on 3 August, 2021"
513,94448930,2019-11-29,Bombay High Court,"Dnyaneshwar S/O. Kachru Tondmal vs The State Of Maharashtra And Others on 29 November, 2019"
514,161482323,2020-02-03,Madras High Court,"K.S.Ramachandran vs T.Sakthivel on 3 February, 2020"
515,189094168,2020-02-13,Madras High Court,"Dr. R.Krishnamurthy vs The City Public Prosecutor on 13 February, 2020"
516,141653471,2020-05-01,Rajasthan High Court - Jodhpur,"State Of Rajasthan vs S on 1 May, 2020"
517,93651117,2018-06-19,Calcutta High Court (Appellete Side),"Mursaleen Mohammad vs Union Of India on 19 June, 2018"
518,81772871,2020-06-09,Kerala High Court,"Cry For Life Society vs Union Of India on 9 June, 2020"
519,111354576,2020-02-13,Madras High Court,"Dr. R.Krishnamurthy vs The City Public Prosecutor on 13 February, 2020"
520,820768,2011-02-28,Madras High Court,"Elgi Equipments Workers & Staff Union vs Union Of India on 28 February, 2011"
521,4415084,2013-12-04,Madhya Pradesh High Court,"Pnb Housing Finance Limited vs The State Of Madhya Pradesh Judgement ... on 4 December, 2013"
522,136029902,2012-07-04,Madras High Court,"K.S.Sundaram vs S.Viswanathan on 4 July, 2012"
523,7188217,2015-03-31,Gujarat High Court,"Monal Dineshbhai Chokshi & 2 vs State Bank Of India & on 31 March, 2015"
524,125461808,2010-05-27,Karnataka High Court,"Sri Halappa @ Harthal Halappa vs The State Of Karnataka on 27 May, 2010"
525,138856797,2015-12-31,Himachal Pradesh High Court,"Deepak Gupta vs Of on 31 December, 2015"
526,52181053,2015-03-09,Madras High Court,"M/S.Mediaone Global Entertainment Ltd vs M/S.Ad Bureau Advertising Pvt. Ltd on 9 March, 2015"
527,8294061,2009-10-07,Kerala High Court,"The Thrissur District Co-Op. Bank vs The State Information Commission on 7 October, 2009"
528,1309935,1997-04-04,Rajasthan High Court - Jaipur,"Mukesh Kumar Ajmera vs State Of Rajasthan And 11 Ors. on 4 April, 1997"
529,1205481,1997-10-17,Andhra HC (Pre-Telangana),"Sadruddin Javeri vs Government Of A.P. And Others on 17 October, 1997"
530,147145987,1800-01-01,Kerala High Court,Pattambi Service Co-Operative Bank ... vs Union Of India
531,131065050,1800-01-01,Madras High Court,Anandhi Simon vs The State Of Tamil Nadu
532,104485862,1800-01-01,Madras High Court,Anandhi Simon vs The State Of Tamil Nadu
533,73541755,2024-04-19,Kerala High Court,"Suo Motu vs The State Of Kerala on 19 April, 2024"
534,165566366,2025-05-06,Allahabad High Court,"Imran Khan @ Ashok Ratna vs State Of U.P. And Another on 6 May, 2025"
535,126331427,2025-09-18,Allahabad High Court,"Abhay Singh vs State Of U.P. Thru. Prin. Secy. Home ... on 18 September, 2025"
536,199774516,2024-05-10,Bombay High Court,"Airports Authority Of India Worker ... vs The Under Secretary, Ministry Of ... on 10 May, 2024"
537,93627352,2023-08-23,Allahabad High Court,"Mahant Prasad Ram Tripathi @ M.P.R. ... vs State Of U.P. Thru. C.B.I. / A.C.B., ... on 23 August, 2023"
538,129363545,2022-11-18,Telangana High Court,"K. Pallavi vs Shaheen Begum And 8 Others on 18 November, 2022"
539,26322761,2022-09-12,Andhra Pradesh High Court - Amravati,"The State Of Andhra Pradesh, vs Udathu Suresh, on 12 September, 2022"
540,88752786,2022-12-01,Allahabad High Court,"Jijo C. George vs State Of U.P. And 3 Others on 1 December, 2022"
541,39150229,2022-12-20,Jharkhand High Court,"Afan Ansari vs The State Of Jharkhand on 20 December, 2022"
542,81418306,2022-11-18,Telangana High Court,"K. Pallavi vs Shaheen Begum on 18 November, 2022"
543,94899539,2021-08-04,Karnataka High Court,"Dr M K Pushpitha vs State Of Karnataka on 4 August, 2021"
544,174057598,2021-08-17,Allahabad High Court,"Rahul Modi vs State Of U.P. And Others on 17 August, 2021"
545,143284138,2017-01-10,Punjab-Haryana High Court,"Raghbir vs Bharto Devi And Ors on 10 January, 2017"
546,179057379,2019-09-17,Punjab-Haryana High Court,"Manjeet Kaur vs Sukhwinder Kaur & Ors on 17 September, 2019"
547,130841365,2013-02-13,Madras High Court,"J.Ravindran vs K.J.Rebello on 13 February, 2013"
548,198901663,2014-11-17,Madras High Court,"P.Chinnapaiyan @ Rathinvel vs The State Of Tamil Nadu on 17 November, 2014"
549,145727372,2014-09-22,Andhra HC (Pre-Telangana),"Md Majid Hussain S/O Hussain R/O 2-7-677 ... vs Md Aqueel S/O Md. Abbas R/O H No. 2-7-719 ... on 22 September, 2014"
550,1995018,2007-02-23,Allahabad High Court,"Smt. Nausida D/O Late Kamil W/O Mohd. ... vs State Of U.P. Through Secretary Home, ... on 23 February, 2007"
551,32384070,2009-11-19,Punjab-Haryana High Court,"Salauddin vs State Of Haryana on 19 November, 2009"
552,6792073,2024-05-04,Kerala High Court,"Xxxxxx vs Union Of India on 4 May, 2024"
553,180600763,2024-06-13,Gauhati High Court,"Saidur Ali vs The State Of Assam And Anr on 13 June, 2024"
554,162249656,2025-04-04,Delhi High Court,"Shazia Ilmi vs Rajdeep Sardesai & Ors. on 4 April, 2025"
555,30126493,2024-12-24,Delhi High Court,"Mr Vinay Maheshwari vs Mr. Manoj Manchu & Ors. on 24 December, 2024"
556,109552507,2023-11-28,Madras High Court,"K.Subramani vs The Commissioner Of Police on 28 November, 2023"
557,176320049,2023-11-28,Madras High Court,"K.Subramani vs The Commissioner Of Police on 28 November, 2023"
558,181427993,2023-11-28,Madras High Court,"K.Subramani vs The Commissioner Of Police on 28 November, 2023"
559,149452068,2025-02-19,Punjab-Haryana High Court,"Sxxxx Through Her Father Rakesh vs State Of Ut Chandigarh And Others on 19 February, 2025"
560,172890039,2025-06-20,Orissa High Court,"Bishnupada Sethi And Ors vs Central Bureau Of Investigation .... ... on 20 June, 2025"
561,197451444,2025-01-29,Delhi High Court - Orders,"Xyz vs Govt. Of Nct Of Delhi And Others & Ors on 29 January, 2025"
562,188943177,2025-08-29,Allahabad High Court,"Rama Shankar vs State Of U.P. Thru. Prin. Secy. Home Lko. ... on 29 August, 2025"
563,102415074,2024-12-28,Madras High Court,"R.Varalakshmi vs The Government Of Tamil Nadu on 28 December, 2024"
564,70553588,2024-07-15,Madras High Court,"Jayaseelan Gopalakrishnan vs Principal Secretary To Government on 15 July, 2024"
565,126384918,2023-04-29,Punjab-Haryana High Court,"Surjit Kaur vs State Of Punjab And Ors on 29 April, 2023"
566,32649861,2022-04-26,Telangana High Court,"K.Eswar Rao, Hyd vs Prl Secy, General Administration ... on 26 April, 2022"
567,25776074,2022-04-26,Telangana High Court,"Vattsala Vidya Sagar, Hyderabad. vs The State Of Tg.,Genl.Admn.,Hyd., Anr. on 26 April, 2022"
568,38170772,2022-04-26,Telangana High Court,"Outlook Publishing India Pvt.Ltd vs The Govt Of Telangana., Gad Dept., 4 ... on 26 April, 2022"
569,174603750,2019-04-10,Jharkhand High Court,"Birju Prasad vs Nitu Gupta on 10 April, 2019"
570,183730872,2017-02-17,Orissa High Court,"Shivsankar Mohanty vs The Registrar Judicial Orissa High ... on 17 February, 2017"
571,45638310,2017-02-17,Orissa High Court,"The High Court Bar Association Odisha vs State Of Odisha And Others on 17 February, 2017"
572,5439094,2013-02-01,Madras High Court,"M/S.Akshaya Creations vs V.Muthulakshmi on 1 February, 2013"
573,87324043,1800-01-01,Madras High Court,G.Vasanthi vs M.Muneeshwaran
574,8405764,1800-01-01,Madras High Court,Ms.Kanimozhi Karunanidhi vs Thiru.P.Varadarajan
575,48232103,1800-01-01,Madras High Court,G.Vasanthi vs M.Muneeshwaran
576,94056592,2025-02-03,Chattisgarh High Court,"Xyz vs State Of Chhattisgarh on 3 February, 2025"
577,93938830,2024-12-12,Patna High Court,"Shubh Lata Pandey vs The Union Of India on 12 December, 2024"
578,104873950,2025-08-01,Andhra Pradesh High Court - Amravati,"Pununi Goutham Reddy vs The State Of Andhra Pradesh on 1 August, 2025"
579,87630561,2024-03-06,Madras High Court,"Vasanthi vs Muthukrishnan on 6 March, 2024"
580,45428033,2025-09-16,Madras High Court,"M.Kamaraj vs Dr.M.Sudheer on 16 September, 2025"
581,72754336,2024-04-27,Allahabad High Court,"Priti Ravindra Shukla vs Aparna Soni @ Aparna Thakur And Another on 27 April, 2024"
582,6158554,2025-07-11,Andhra Pradesh High Court - Amravati,"Putchakayala Nagaseshu, vs The Govt, Of A.P. on 11 July, 2025"
583,41407016,2024-02-29,Allahabad High Court,"Ashok Kumar vs State Of U.P. on 29 February, 2024"
584,74834675,2025-07-09,Andhra Pradesh High Court - Amravati,"Balaga Anil Kumar vs The State Of Andhra Pradesh, on 9 July, 2025"
585,67862326,2025-07-09,Andhra Pradesh High Court - Amravati,"Boddapu Srinu Srinuvasa vs The State Of Andhra Pradesh on 9 July, 2025"
586,35676667,2025-07-09,Andhra Pradesh High Court - Amravati,"Boddapu Prasad vs The State Of Ap on 9 July, 2025"
587,162233998,2025-07-11,Andhra Pradesh High Court - Amravati,"Putchakayala Nagaseshu, vs The Govt, Of A.P. on 11 July, 2025"
588,52102003,2025-06-25,Andhra Pradesh High Court - Amravati,"Konapala Annajee Rao vs The State Of Andhra Pradesh on 25 June, 2025"
589,83043807,2025-07-08,Andhra Pradesh High Court - Amravati,"Debarika Srikanth vs The State Of Ap on 8 July, 2025"
590,163270593,2025-07-09,Andhra Pradesh High Court - Amravati,"Balaga Anil Kumar vs The State Of Andhra Pradesh, on 9 July, 2025"
591,131789902,2025-07-09,Andhra Pradesh High Court - Amravati,"Boddapu Prasad vs The State Of U.P And Others1 Had Dealt ... on 9 July, 2025"
592,107441235,2023-12-19,Allahabad High Court,"J.M.P. Khanna vs State Of U.P. And Another on 19 December, 2023"
593,72852844,2025-07-09,Andhra Pradesh High Court - Amravati,"Boddapu Srinu @ Srinuvasa vs The State Of U.P And Others^ Had Dealt ... on 9 July, 2025"
594,155926082,2025-06-17,Andhra Pradesh High Court - Amravati,"Kuppala Ravishankar vs The State Of Andhra Pradesh on 17 June, 2025"
595,180184529,2024-11-14,Kerala High Court,"Sunil Rajan K vs Inspector Of Police on 14 November, 2024"
596,76208031,2023-11-15,Jammu & Kashmir High Court,"Jagar Singh vs Ut Of J&K Through on 15 November, 2023"
597,188248812,2025-05-09,Andhra Pradesh High Court - Amravati,"Balam Pratap vs The State Of Ap on 9 May, 2025"
598,129450270,2023-05-23,Delhi High Court,"Renuka vs University Grants Commission (Ugc)) & ... on 23 May, 2023"
599,113778442,2024-07-16,Karnataka High Court,"Sri Mathew Thomas vs The Union Of India on 16 July, 2024"
600,163882820,2023-06-05,Manipur High Court,"Maisnam Korouhanba Luwang vs State Of Manipur on 5 June, 2023"
601,117492683,2022-07-21,Supreme Court - Daily Orders,"X vs The Principal Secretary Health And ... on <b>21</b> July, 2022"
602,141710265,2022-07-27,Delhi High Court,"Prakash Singh vs Union Of India & Anr. on 27 July, 2022"
603,164875117,2022-07-27,Chattisgarh High Court,"Shankar Verma vs Vidya Verma on 27 July, 2022"
604,90456220,2022-10-19,Andhra Pradesh High Court - Amravati,"Akepati Swarnalatha vs The Principal on 19 October, 2022"
605,185685743,2023-01-18,Delhi High Court - Orders,"K vs The Principal Secretary Health And ... on 18 January, 2023"
606,73392082,2022-10-18,Andhra Pradesh High Court - Amravati,"Akepati Swarnalatha vs The Principal on 18 October, 2022"
607,146987716,2022-08-23,Chattisgarh High Court,"Chuman Lal Sahu vs Dhanush Lal Sahu on 23 August, 2022"
608,28808610,2020-10-20,Madhya Pradesh High Court,"Arun Sharma vs State Of Madhya Pradesh on 20 October, 2020"
609,110244260,2022-02-07,Chattisgarh High Court,"Smt. Neelam Sharma vs Brijmohan Dua on 7 February, 2022"
610,190059031,2021-11-02,Kerala High Court,"People For Animals (Pfa) vs State Of Kerala on 2 November, 2021"
611,104109747,2018-12-12,Chattisgarh High Court,"Ranichand Baiga vs State Of Chhattisgarh 80 Mac/1402/2018 ... on 12 December, 2018"
612,111302639,2020-03-02,Madhya Pradesh High Court,"Ajay Singh vs Smt. Rama Bai on 2 March, 2020"
613,19881865,2017-04-24,Gujarat High Court,"The Kodinar Taluka Cooperative Banking ... vs Gujarat Information Commissioner & 4 on 24 April, 2017"
614,131810315,2014-09-24,Gujarat High Court,"Thakor Sardarji Bhagvanji vs State Of Gujarat & 3 on 24 September, 2014"
615,190741031,2012-09-06,Gujarat High Court,"Anvarhusein vs State on 6 September, 2012"
616,1720185829,2011-11-09,Madras High Court,"S.Vairapalam vs The Executive Officer on 9 November, 2011"
617,69431126,2014-09-18,Madras High Court,"P.K.Nagarajan @ Meenakshisundaram vs Mrs.N.Jeyarani on 18 September, 2014"
618,667298,2011-04-01,Bombay High Court,"Sangita W/O.Arjun Gosavi vs Arjun S/O.Dattatraya Gosavi on 1 April, 2011"
619,107216874,2016-02-18,Gujarat High Court,"Vipul Mohanbhai Donga vs Idbi Bank - Through Authorised ... on 18 February, 2016"
620,1159268,2011-11-09,Madras High Court,"S.Vairapalam vs The Executive Officer on 9 November, 2011"
621,198965402,2016-04-28,Madras High Court,"Bharathiya Janatha Party vs The District Collector on 28 April, 2016"
622,29886957,2016-04-28,Madras High Court,"Bharathiya Janatha Party vs The District Collector on 28 April, 2016"
623,106201521,1800-01-01,Gujarat High Court,Jigneshbhai vs State
624,163324199,1800-01-01,Kerala High Court,Pattambi Service Co-Operative Bank Ltd vs Union Of India
625,75715272,2024-02-28,Delhi High Court,"Ehtesham Qutubuddin Siddique vs Cpio, Ministry Of Home Affairs on 28 February, 2024"
626,95802873,2024-02-28,Delhi High Court,"Ehtesham Qutubuddin Siddique vs Cpio, Department Of Personnel And ... on 28 February, 2024"
627,189619427,2025-06-24,Andhra Pradesh High Court - Amravati,"Mohammed Farooq, vs State Of Andhra Pradesh, on 24 June, 2025"
628,54328352,2020-09-30,Andhra Pradesh High Court - Amravati,"Modadugula Uma Maheswara Rao, vs The State Of Andhra Pradesh on 30 September, 2020"
629,123895429,2019-12-17,Delhi High Court,"Sanjjiiv Kkumaar vs Union Of India on 17 December, 2019"
630,11207924,2014-07-24,Madras High Court,"N.Kumar vs The Home Secretary on 24 July, 2014"
631,105545706,2014-07-24,Madras High Court,"N.Kumar vs The Home Secretary on 24 July, 2014"
632,195689287,2019-07-04,Lok Sabha Debates,"Need To Provide A Special Package For Coastal Region Of Kerala Affected Due To Sea ... on 4 July, 2019"
633,56749059,2017-04-04,Income Tax Appellate Tribunal - Mumbai,"Asst Cit Cir 2, Thane vs Salasar Developers, Thane on 4 April, 2017"
634,43845751,2019-07-04,Lok Sabha Debates,"Combined Discussion On Statutory Resolution Regarding Disapproval Of Aadhaar ... on 4 July, 2019"
635,143363052,2022-08-23,National Green Tribunal,"Consumer Unity & Trust Society (Cuts) ... vs State Of Rajasthan on 23 August, 2022"
636,93517402,2020-03-17,Lok Sabha Debates,"The Motion For Consideration Of The Medical Termination Of Pregnancy ... on 17 March, 2020"
637,83863810,2024-06-10,Central Information Commission,"Subhash Chandra Agrawal vs Reserve Bank Of India on 10 June, 2024"
638,129148752,2022-08-02,National Company Law Appellate Tribunal,"Shri Vinod Kumar Gupta vs Competition Commission Of India on 2 August, 2022"
639,30616258,2022-08-02,National Company Law Appellate Tribunal,"Shri Vinod Kumar Gupta vs Competition Commission Of India on 2 August, 2022"
640,164738242,2024-12-16,Central Administrative Tribunal - Delhi,"Vikash vs Comm. Of Police on 16 December, 2024"
641,98167113,2024-12-16,Central Administrative Tribunal - Delhi,"Kuldeep vs Comm. Of Police on 16 December, 2024"
642,94068538,2024-12-16,Central Administrative Tribunal - Delhi,"Hanuman Singh Shekhawat vs Govt. Of Nctd on 16 December, 2024"
643,52254644,2023-11-08,Central Administrative Tribunal - Delhi,"Vijay vs Govt. Of Nctd on 8 November, 2023"
644,23454731,2023-11-08,Central Administrative Tribunal - Delhi,"Parvesh vs Comm. Of Police on 8 November, 2023"
645,123690212,2023-11-08,Central Administrative Tribunal - Delhi,"Kuldeep vs Comm. Of Police on 8 November, 2023"
646,113082472,2023-11-08,Central Administrative Tribunal - Delhi,"Vikash vs Comm. Of Police on 8 November, 2023"
647,74735150,2023-11-08,Central Administrative Tribunal - Delhi,"Hanuman Singh Shekhawat vs Govt. Of Nctd on 8 November, 2023"
648,190515405,2023-11-08,Central Administrative Tribunal - Delhi,"Manish Kumar vs Comm. Of Police on 8 November, 2023"
649,163022329,2022-06-27,"Custom, Excise & Service Tax Tribunal","Amglo Resources Private Limited vs Ahmedabad on 27 June, 2022"
650,2943007,2022-05-10,"Custom, Excise & Service Tax Tribunal","Amglo Resources Private Limited vs Valsad on 10 May, 2022"
651,173388022,2021-11-24,Central Information Commission,"Venkatesh Nayak vs State Bank Of India on 24 November, 2021"
652,100942488,2020-07-03,National Green Tribunal,"Dileep B Nevatia vs State Of Maharashtra on 3 July, 2020"
653,187784639,2019-05-01,Central Information Commission,"Ram Kumar vs Central Board Of Direct Taxes on 1 May, 2019"
654,94395258,2019-03-18,Central Information Commission,"Ajit Kumar Singh vs Directorate Of Estates on 18 March, 2019"
655,51016925,2015-04-10,Central Information Commission,"Mrjyoti Jeena vs Government Of Nct Of Delhi on 10 April, 2015"
656,73577534,1800-01-01,Law Commission Report,210Th Report On Humanisation And Decriminalisation Of Attempt To Suicide
657,180615897,2024-12-06,Central Information Commission,"Vikas Ranjan vs Director General Of Income Tax (Inv). ... on 6 December, 2024"
658,172797292,2023-10-16,Central Information Commission,"Subhash Chandra Agrawal vs Ministry Of Youth Affairs & Sports on 16 October, 2023"
659,61239212,2022-06-17,Central Information Commission,"Ankit Baweja (Authorized Signatory Rbl ... vs Reserve Bank Of India on 17 June, 2022"
660,75174177,2021-03-09,Central Information Commission,"Anuradha Kakodkar vs Chief Commissioner Of Income Tax (Cca) , ... on 9 March, 2021"
661,66602737,2020-07-24,Central Information Commission,"Smt. Basavantamma vs Chief Commissioner Of Income Tax (Cca), ... on 24 July, 2020"
662,4626921,2020-09-17,Central Information Commission,"Smt. Sarpita Barua vs Chief Commissioner Of Income Tax (Cca) , ... on 17 September, 2020"
663,91934459,2021-03-16,Central Information Commission,"Smt. Pushpa Shenoy vs Chief Commissioner Of Income Tax (Cca) , ... on 16 March, 2021"
664,156168688,2020-12-02,Central Information Commission,"Nishant Mishra vs Chief Commissioner Of Income Tax (Cca) , ... on 2 December, 2020"
665,28118085,2020-07-30,Central Information Commission,"Smt.Neha Bagga vs Director General Of Income Tax (Inv.) ... on 30 July, 2020"
666,40493107,2021-06-23,Central Information Commission,"Jainender Kumar Gupta vs Chief Commissioner Of Income Tax (Cca) , ... on 23 June, 2021"
667,82733702,2021-04-07,Central Information Commission,"Mandeep Kaur vs Chief Commissioner Of Income Tax (Cca) , ... on 7 April, 2021"
668,110729256,2021-01-12,Central Information Commission,"Pawan Kumar Saluja vs Chief Commissioner Of Income Tax (Cca), ... on 12 January, 2021"
669,53956059,2021-06-07,Central Information Commission,"Deepak Garg vs Chief Commissioner Of Income Tax (Cca) , ... on 7 June, 2021"
670,19785392,2021-05-25,Central Information Commission,"Ms. Jaddu Pavani vs Chief Commissioner Of Income Tax (Cca), ... on 25 May, 2021"
671,119055314,2021-05-24,Central Information Commission,"Kapil Agarwal vs Chief Commissioner Of Income Tax (Cca) , ... on 24 May, 2021"
672,72988846,2021-01-18,Central Information Commission,"Amrita Chatterjee vs Chief Commissioner Of Income Tax (Cca), ... on 18 January, 2021"
673,16278848,2021-06-01,Central Information Commission,"Dipti Sharma vs Commissioner Of Income Tax(Audit), ... on 1 June, 2021"
674,36240638,2021-05-29,Central Information Commission,"Ms. Jaddu Pavani vs Chief Commissioner Of Income Tax (Cca), ... on 29 May, 2021"
675,91416140,2021-04-30,Central Information Commission,"Capt. Sumeet Kumar vs Director General Of Income Tax (Inv.) ... on 30 April, 2021"
676,173791825,2021-06-07,Central Information Commission,"Smt. Veena vs Chief Commissioner Of Income Tax (Cca) , ... on 7 June, 2021"
677,64654720,2020-05-21,Central Information Commission,"Dasu Aravind Kumar vs Chief Commissioner Of Income Tax (Cca) , ... on <b>21</b> May, 2020"
678,194028919,2020-05-21,Central Information Commission,"Smt. Princy Amit Jain vs Chief Commissioner Of Income Tax (Cca), ... on <b>21</b> May, 2020"
679,63303503,2020-06-01,Central Information Commission,"Hetal Amit Chauhan vs Chief Commissioner Of Income Tax (Cca) , ... on 1 June, 2020"
680,38217375,2020-06-24,Central Information Commission,"Smt. Upanita Das vs Chief Commissioner Of Income Tax (Cca) , ... on 24 June, 2020"
681,48067437,2020-06-09,Central Information Commission,"Dr. Ravi Jindal vs Director Genral Of Income Tax (Inv.) ... on 9 June, 2020"
682,63378344,2014-09-26,Central Information Commission,"Mrrajesh Kumar vs Gnctd on 26 September, 2014"
683,23555024,2014-09-26,Central Information Commission,"Mrrajesh Kumar vs Gnctd on 26 September, 2014"
684,153903731,2014-09-24,Central Information Commission,"Mrchob Singh vs Gnctd on 24 September, 2014"
685,112333921,2021-02-08,Central Information Commission,"Rishant Sadh vs Chief Commissioner Of Income Tax (Cca), ... on 8 February, 2021"
686,127108897,2024-12-06,Central Information Commission,"Md. Arif Khalil vs Director General Of Income Tax (Inv). ... on 6 December, 2024"
687,25954241,2023-12-28,State Consumer Disputes Redressal Commission,"Pankaj Chandgothia vs The Coffee Bean & Tea Leaf on 28 December, 2023"
688,125940166,2014-09-01,Central Information Commission,"Mrbrij Mohan Sagar vs Government Of Nct Of Delhi on 1 September, 2014"
689,35314129,2025-02-12,Central Information Commission,"Edara Hari Babu vs Department Of Animal Husbandry And ... on 12 February, 2025"
690,139617309,2020-09-15,Central Information Commission,"Jagdish Lal Kariya vs Chief Commissioner Of Income Tax (Cca) , ... on 15 September, 2020"
691,176781894,2016-01-23,Delhi District Court,"Satyaveer Singh Rathi vs M/S. Zee Television Ltd on 23 January, 2016"
692,104711027,2025-06-09,Delhi District Court,"Kapil Arora vs Central Goods Service Tax North on 9 June, 2025"
693,176829486,2010-10-13,Delhi District Court,"State vs . Munna S/O Sh. Tej Pal on 13 October, 2010"
694,83651147,2023-01-06,Delhi District Court,"Jasvinder Singh @ Bittoo Chaudhary vs Surjeet Singh Virdhi on 6 January, 2023"
695,145339402,2018-04-28,Delhi District Court,"M/S. Juggernaut Books Pvt. Ltd vs Swami Ramdev on 28 April, 2018"
696,40682287,2018-04-28,Delhi District Court,"Priyanka Pathak Narain vs Swami Ramdev on 28 April, 2018"
697,617044,2007-12-05,Supreme Court of India,"Directorate Of Revenue & Anr vs Mohammed Nisar Holia on 5 December, 2007"
698,199035715,2019-08-19,Supreme Court of India,"Association Of Medical Super ... vs Union Of India on 19 August, 2019"
699,78844212,2013-04-11,Supreme Court of India,"Lillu @ Rajesh & Anr vs State Of Haryana on 11 April, 2013"
700,140945028,2017-03-02,Bombay High Court,"Ramchandra Bhambaji Pawar vs State Of Maharashtra And Ors on 2 March, 2017"
701,542988,1994-04-26,Supreme Court of India,"P.Rathinam vs Union Of India on 26 April, 1994"
